,0
0,"2020-03-01,AHMEDABAD,0"
1,"2020-03-02,AHMEDABAD,15.0"
2,"2020-03-03,AHMEDABAD,20.0"
3,"2020-03-04,AHMEDABAD,15.0"
4,"2020-03-05,AHMEDABAD,15.0"
5,"2020-03-06,AHMEDABAD,15.0"
6,"2020-03-07,AHMEDABAD,15.0"
7,"2020-03-08,AHMEDABAD,0"
8,"2020-03-09,AHMEDABAD,15.0"
9,"2020-03-10,AHMEDABAD,0"
10,"2020-03-11,AHMEDABAD,20.0"
11,"2020-03-12,AHMEDABAD,15.0"
12,"2020-03-13,AHMEDABAD,20.0"
13,"2020-03-14,AHMEDABAD,20.0"
14,"2020-03-15,AHMEDABAD,0"
15,"2020-03-16,AHMEDABAD,20.0"
16,"2020-03-17,AHMEDABAD,20.0"
17,"2020-03-18,AHMEDABAD,20.0"
18,"2020-03-19,AHMEDABAD,20.0"
19,"2020-03-20,AHMEDABAD,20.0"
20,"2020-03-21,AHMEDABAD,0"
21,"2020-03-22,AHMEDABAD,0"
22,"2020-03-23,AHMEDABAD,0"
23,"2020-03-24,AHMEDABAD,0"
24,"2020-03-25,AHMEDABAD,0"
25,"2020-03-26,AHMEDABAD,0"
26,"2020-03-27,AHMEDABAD,0"
27,"2020-03-28,AHMEDABAD,0"
28,"2020-03-29,AHMEDABAD,0"
29,"2020-03-30,AHMEDABAD,0"
30,"2020-03-31,AHMEDABAD,0"
