,0
0,"2017-06-01,AHMEDABAD,40.0"
1,"2017-06-02,AHMEDABAD,30.0"
2,"2017-06-03,AHMEDABAD,0"
3,"2017-06-04,AHMEDABAD,0"
4,"2017-06-05,AHMEDABAD,45.0"
5,"2017-06-06,AHMEDABAD,45.0"
6,"2017-06-07,AHMEDABAD,40.0"
7,"2017-06-08,AHMEDABAD,40.0"
8,"2017-06-09,AHMEDABAD,40.0"
9,"2017-06-10,AHMEDABAD,40.0"
10,"2017-06-11,AHMEDABAD,0"
11,"2017-06-12,AHMEDABAD,0"
12,"2017-06-13,AHMEDABAD,40.0"
13,"2017-06-14,AHMEDABAD,40.0"
14,"2017-06-15,AHMEDABAD,30.0"
15,"2017-06-16,AHMEDABAD,30.0"
16,"2017-06-17,AHMEDABAD,0"
17,"2017-06-18,AHMEDABAD,0"
18,"2017-06-19,AHMEDABAD,40.0"
19,"2017-06-20,AHMEDABAD,40.0"
20,"2017-06-21,AHMEDABAD,0"
21,"2017-06-22,AHMEDABAD,40.0"
22,"2017-06-23,AHMEDABAD,35.0"
23,"2017-06-24,AHMEDABAD,40.0"
24,"2017-06-25,AHMEDABAD,0"
25,"2017-06-26,AHMEDABAD,0"
26,"2017-06-27,AHMEDABAD,40.0"
27,"2017-06-28,AHMEDABAD,40.0"
28,"2017-06-29,AHMEDABAD,35.0"
29,"2017-06-30,AHMEDABAD,30.0"
