,0
0,"2017-05-01,AHMEDABAD,25.0"
1,"2017-05-02,AHMEDABAD,30.0"
2,"2017-05-03,AHMEDABAD,30.0"
3,"2017-05-04,AHMEDABAD,25.0"
4,"2017-05-05,AHMEDABAD,30.0"
5,"2017-05-06,AHMEDABAD,30.0"
6,"2017-05-07,AHMEDABAD,0"
7,"2017-05-08,AHMEDABAD,40.0"
8,"2017-05-09,AHMEDABAD,40.0"
9,"2017-05-10,AHMEDABAD,0"
10,"2017-05-11,AHMEDABAD,30.0"
11,"2017-05-12,AHMEDABAD,30.0"
12,"2017-05-13,AHMEDABAD,0"
13,"2017-05-14,AHMEDABAD,0"
14,"2017-05-15,AHMEDABAD,30.0"
15,"2017-05-16,AHMEDABAD,30.0"
16,"2017-05-17,AHMEDABAD,30.0"
17,"2017-05-18,AHMEDABAD,40.0"
18,"2017-05-19,AHMEDABAD,30.0"
19,"2017-05-20,AHMEDABAD,40.0"
20,"2017-05-21,AHMEDABAD,0"
21,"2017-05-22,AHMEDABAD,40.0"
22,"2017-05-23,AHMEDABAD,30.0"
23,"2017-05-24,AHMEDABAD,30.0"
24,"2017-05-25,AHMEDABAD,40.0"
25,"2017-05-26,AHMEDABAD,35.0"
26,"2017-05-27,AHMEDABAD,0"
27,"2017-05-28,AHMEDABAD,0"
28,"2017-05-29,AHMEDABAD,40.0"
29,"2017-05-30,AHMEDABAD,40.0"
30,"2017-05-31,AHMEDABAD,40.0"
