,0
0,"2018-12-01,AHMEDABAD,0"
1,"2018-12-02,AHMEDABAD,0"
2,"2018-12-03,AHMEDABAD,0"
3,"2018-12-04,AHMEDABAD,0"
4,"2018-12-05,AHMEDABAD,0"
5,"2018-12-06,AHMEDABAD,0"
6,"2018-12-07,AHMEDABAD,0"
7,"2018-12-08,AHMEDABAD,0"
8,"2018-12-09,AHMEDABAD,0"
9,"2018-12-10,AHMEDABAD,0"
10,"2018-12-11,AHMEDABAD,0"
11,"2018-12-12,AHMEDABAD,0"
12,"2018-12-13,AHMEDABAD,0"
13,"2018-12-14,AHMEDABAD,0"
14,"2018-12-15,AHMEDABAD,0"
15,"2018-12-16,AHMEDABAD,0"
16,"2018-12-17,AHMEDABAD,0"
17,"2018-12-18,AHMEDABAD,0"
18,"2018-12-19,AHMEDABAD,0"
19,"2018-12-20,AHMEDABAD,30.0"
20,"2018-12-21,AHMEDABAD,30.0"
21,"2018-12-22,AHMEDABAD,30.0"
22,"2018-12-23,AHMEDABAD,0"
23,"2018-12-24,AHMEDABAD,30.0"
24,"2018-12-25,AHMEDABAD,0"
25,"2018-12-26,AHMEDABAD,30.0"
26,"2018-12-27,AHMEDABAD,30.0"
27,"2018-12-28,AHMEDABAD,0"
28,"2018-12-29,AHMEDABAD,0"
29,"2018-12-30,AHMEDABAD,0"
30,"2018-12-31,AHMEDABAD,0"
