Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jorhat,09/03/2016,1, ,NR,NR,NR,
Tinsukia,08/03/2016,5, ,NR,NR,NR,
,14/03/2016,4, ,NR,NR,NR,
,23/03/2016,2, ,NR,NR,NR,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jorhat,09/03/2016,1, ,NR,NR,NR,
Tinsukia,08/03/2016,5, ,NR,NR,NR,
,14/03/2016,4, ,NR,NR,NR,
,23/03/2016,2, ,NR,NR,NR,
