Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gauripur,16/02/2016,2.5, ,NR,NR,NR,
Tinsukia,01/02/2016,10, ,NR,NR,NR,
,05/02/2016,2, ,NR,NR,NR,
,24/02/2016,3, ,NR,NR,NR,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gauripur,16/02/2016,2.5, ,NR,NR,NR,
Tinsukia,01/02/2016,10, ,NR,NR,NR,
,05/02/2016,2, ,NR,NR,NR,
,24/02/2016,3, ,NR,NR,NR,
