,0
0,"2017-07-01,AHMEDABAD,0"
1,"2017-07-02,AHMEDABAD,0"
2,"2017-07-03,AHMEDABAD,16.0"
3,"2017-07-04,AHMEDABAD,15.0"
4,"2017-07-05,AHMEDABAD,16.0"
5,"2017-07-06,AHMEDABAD,16.0"
6,"2017-07-07,AHMEDABAD,16.0"
7,"2017-07-08,AHMEDABAD,16.0"
8,"2017-07-09,AHMEDABAD,0"
9,"2017-07-10,AHMEDABAD,15.0"
10,"2017-07-11,AHMEDABAD,16.0"
11,"2017-07-12,AHMEDABAD,16.0"
12,"2017-07-13,AHMEDABAD,15.0"
13,"2017-07-14,AHMEDABAD,16.0"
14,"2017-07-15,AHMEDABAD,15.0"
15,"2017-07-16,AHMEDABAD,0"
16,"2017-07-17,AHMEDABAD,16.0"
17,"2017-07-18,AHMEDABAD,15.0"
18,"2017-07-19,AHMEDABAD,16.0"
19,"2017-07-20,AHMEDABAD,16.0"
20,"2017-07-21,AHMEDABAD,16.0"
21,"2017-07-22,AHMEDABAD,16.0"
22,"2017-07-23,AHMEDABAD,0"
23,"2017-07-24,AHMEDABAD,16.0"
24,"2017-07-25,AHMEDABAD,16.0"
25,"2017-07-26,AHMEDABAD,15.0"
26,"2017-07-27,AHMEDABAD,16.0"
27,"2017-07-28,AHMEDABAD,20.0"
28,"2017-07-29,AHMEDABAD,0"
29,"2017-07-30,AHMEDABAD,0"
30,"2017-07-31,AHMEDABAD,20.0"
