,0
0,"2017-11-01,AHMEDABAD,50.0"
1,"2017-11-02,AHMEDABAD,50.0"
2,"2017-11-03,AHMEDABAD,50.0"
3,"2017-11-04,AHMEDABAD,0"
4,"2017-11-05,AHMEDABAD,0"
5,"2017-11-06,AHMEDABAD,60.0"
6,"2017-11-07,AHMEDABAD,60.0"
7,"2017-11-08,AHMEDABAD,50.0"
8,"2017-11-09,AHMEDABAD,50.0"
9,"2017-11-10,AHMEDABAD,50.0"
10,"2017-11-11,AHMEDABAD,50.0"
11,"2017-11-12,AHMEDABAD,0"
12,"2017-11-13,AHMEDABAD,45.0"
13,"2017-11-14,AHMEDABAD,50.0"
14,"2017-11-15,AHMEDABAD,50.0"
15,"2017-11-16,AHMEDABAD,50.0"
16,"2017-11-17,AHMEDABAD,50.0"
17,"2017-11-18,AHMEDABAD,50.0"
18,"2017-11-19,AHMEDABAD,0"
19,"2017-11-20,AHMEDABAD,50.0"
20,"2017-11-21,AHMEDABAD,50.0"
21,"2017-11-22,AHMEDABAD,50.0"
22,"2017-11-23,AHMEDABAD,50.0"
23,"2017-11-24,AHMEDABAD,50.0"
24,"2017-11-25,AHMEDABAD,60.0"
25,"2017-11-26,AHMEDABAD,0"
26,"2017-11-27,AHMEDABAD,60.0"
27,"2017-11-28,AHMEDABAD,60.0"
28,"2017-11-29,AHMEDABAD,60.0"
29,"2017-11-30,AHMEDABAD,60.0"
