,0
0,"2018-08-01,AHMEDABAD,25.0"
1,"2018-08-02,AHMEDABAD,25.0"
2,"2018-08-03,AHMEDABAD,25.0"
3,"2018-08-04,AHMEDABAD,25.0"
4,"2018-08-05,AHMEDABAD,0"
5,"2018-08-06,AHMEDABAD,25.0"
6,"2018-08-07,AHMEDABAD,25.0"
7,"2018-08-08,AHMEDABAD,25.0"
8,"2018-08-09,AHMEDABAD,25.0"
9,"2018-08-10,AHMEDABAD,25.0"
10,"2018-08-11,AHMEDABAD,25.0"
11,"2018-08-12,AHMEDABAD,0"
12,"2018-08-13,AHMEDABAD,25.0"
13,"2018-08-14,AHMEDABAD,25.0"
14,"2018-08-15,AHMEDABAD,0"
15,"2018-08-16,AHMEDABAD,25.0"
16,"2018-08-17,AHMEDABAD,0"
17,"2018-08-18,AHMEDABAD,25.0"
18,"2018-08-19,AHMEDABAD,0"
19,"2018-08-20,AHMEDABAD,25.0"
20,"2018-08-21,AHMEDABAD,25.0"
21,"2018-08-22,AHMEDABAD,0"
22,"2018-08-23,AHMEDABAD,25.0"
23,"2018-08-24,AHMEDABAD,25.0"
24,"2018-08-25,AHMEDABAD,0"
25,"2018-08-26,AHMEDABAD,0"
26,"2018-08-27,AHMEDABAD,25.0"
27,"2018-08-28,AHMEDABAD,20.0"
28,"2018-08-29,AHMEDABAD,25.0"
29,"2018-08-30,AHMEDABAD,25.0"
30,"2018-08-31,AHMEDABAD,25.0"
