,0
0,"2017-04-01,AHMEDABAD,0"
1,"2017-04-02,AHMEDABAD,0"
2,"2017-04-03,AHMEDABAD,0"
3,"2017-04-04,AHMEDABAD,0"
4,"2017-04-05,AHMEDABAD,16.0"
5,"2017-04-06,AHMEDABAD,15.0"
6,"2017-04-07,AHMEDABAD,15.0"
7,"2017-04-08,AHMEDABAD,16.0"
8,"2017-04-09,AHMEDABAD,0"
9,"2017-04-10,AHMEDABAD,15.0"
10,"2017-04-11,AHMEDABAD,16.0"
11,"2017-04-12,AHMEDABAD,18.0"
12,"2017-04-13,AHMEDABAD,0"
13,"2017-04-14,AHMEDABAD,0"
14,"2017-04-15,AHMEDABAD,15.0"
15,"2017-04-16,AHMEDABAD,0"
16,"2017-04-17,AHMEDABAD,15.0"
17,"2017-04-18,AHMEDABAD,0"
18,"2017-04-19,AHMEDABAD,15.0"
19,"2017-04-20,AHMEDABAD,15.0"
20,"2017-04-21,AHMEDABAD,15.0"
21,"2017-04-22,AHMEDABAD,15.0"
22,"2017-04-23,AHMEDABAD,0"
23,"2017-04-24,AHMEDABAD,15.0"
24,"2017-04-25,AHMEDABAD,0"
25,"2017-04-26,AHMEDABAD,15.0"
26,"2017-04-27,AHMEDABAD,15.0"
27,"2017-04-28,AHMEDABAD,15.0"
28,"2017-04-29,AHMEDABAD,0"
29,"2017-04-30,AHMEDABAD,0"
