,0
0,"2017-10-01,AHMEDABAD,0"
1,"2017-10-02,AHMEDABAD,0"
2,"2017-10-03,AHMEDABAD,30.0"
3,"2017-10-04,AHMEDABAD,30.0"
4,"2017-10-05,AHMEDABAD,30.0"
5,"2017-10-06,AHMEDABAD,0"
6,"2017-10-07,AHMEDABAD,30.0"
7,"2017-10-08,AHMEDABAD,0"
8,"2017-10-09,AHMEDABAD,30.0"
9,"2017-10-10,AHMEDABAD,30.0"
10,"2017-10-11,AHMEDABAD,30.0"
11,"2017-10-12,AHMEDABAD,35.0"
12,"2017-10-13,AHMEDABAD,35.0"
13,"2017-10-14,AHMEDABAD,40.0"
14,"2017-10-15,AHMEDABAD,0"
15,"2017-10-16,AHMEDABAD,40.0"
16,"2017-10-17,AHMEDABAD,40.0"
17,"2017-10-18,AHMEDABAD,40.0"
18,"2017-10-19,AHMEDABAD,0"
19,"2017-10-20,AHMEDABAD,0"
20,"2017-10-21,AHMEDABAD,0"
21,"2017-10-22,AHMEDABAD,0"
22,"2017-10-23,AHMEDABAD,0"
23,"2017-10-24,AHMEDABAD,45.0"
24,"2017-10-25,AHMEDABAD,50.0"
25,"2017-10-26,AHMEDABAD,50.0"
26,"2017-10-27,AHMEDABAD,50.0"
27,"2017-10-28,AHMEDABAD,50.0"
28,"2017-10-29,AHMEDABAD,0"
29,"2017-10-30,AHMEDABAD,50.0"
30,"2017-10-31,AHMEDABAD,50.0"
