,0
0,"2018-09-01,AHMEDABAD,25.0"
1,"2018-09-02,AHMEDABAD,0"
2,"2018-09-03,AHMEDABAD,0"
3,"2018-09-04,AHMEDABAD,20.0"
4,"2018-09-05,AHMEDABAD,0"
5,"2018-09-06,AHMEDABAD,20.0"
6,"2018-09-07,AHMEDABAD,25.0"
7,"2018-09-08,AHMEDABAD,20.0"
8,"2018-09-09,AHMEDABAD,0"
9,"2018-09-10,AHMEDABAD,20.0"
10,"2018-09-11,AHMEDABAD,20.0"
11,"2018-09-12,AHMEDABAD,20.0"
12,"2018-09-13,AHMEDABAD,20.0"
13,"2018-09-14,AHMEDABAD,0"
14,"2018-09-15,AHMEDABAD,20.0"
15,"2018-09-16,AHMEDABAD,0"
16,"2018-09-17,AHMEDABAD,0"
17,"2018-09-18,AHMEDABAD,20.0"
18,"2018-09-19,AHMEDABAD,20.0"
19,"2018-09-20,AHMEDABAD,20.0"
20,"2018-09-21,AHMEDABAD,0"
21,"2018-09-22,AHMEDABAD,0"
22,"2018-09-23,AHMEDABAD,0"
23,"2018-09-24,AHMEDABAD,20.0"
24,"2018-09-25,AHMEDABAD,20.0"
25,"2018-09-26,AHMEDABAD,20.0"
26,"2018-09-27,AHMEDABAD,20.0"
27,"2018-09-28,AHMEDABAD,20.0"
28,"2018-09-29,AHMEDABAD,20.0"
29,"2018-09-30,AHMEDABAD,0"
