,0
0,"2019-02-01,AHMEDABAD,18.0"
1,"2019-02-02,AHMEDABAD,15.0"
2,"2019-02-03,AHMEDABAD,0"
3,"2019-02-04,AHMEDABAD,20.0"
4,"2019-02-05,AHMEDABAD,20.0"
5,"2019-02-06,AHMEDABAD,20.0"
6,"2019-02-07,AHMEDABAD,20.0"
7,"2019-02-08,AHMEDABAD,20.0"
8,"2019-02-09,AHMEDABAD,20.0"
9,"2019-02-10,AHMEDABAD,0"
10,"2019-02-11,AHMEDABAD,20.0"
11,"2019-02-12,AHMEDABAD,20.0"
12,"2019-02-13,AHMEDABAD,0"
13,"2019-02-14,AHMEDABAD,20.0"
14,"2019-02-15,AHMEDABAD,20.0"
15,"2019-02-16,AHMEDABAD,0"
16,"2019-02-17,AHMEDABAD,0"
17,"2019-02-18,AHMEDABAD,20.0"
18,"2019-02-19,AHMEDABAD,20.0"
19,"2019-02-20,AHMEDABAD,20.0"
20,"2019-02-21,AHMEDABAD,20.0"
21,"2019-02-22,AHMEDABAD,20.0"
22,"2019-02-23,AHMEDABAD,0"
23,"2019-02-24,AHMEDABAD,0"
24,"2019-02-25,AHMEDABAD,0"
25,"2019-02-26,AHMEDABAD,20.0"
26,"2019-02-27,AHMEDABAD,0"
27,"2019-02-28,AHMEDABAD,0"
