Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kekri,12/01/2019,16,Bengal Gram (Split),3420,3925,3750,
Pipar City,14/01/2019,1.14, ,NR,NR,NR,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kekri,12/01/2019,16,Bengal Gram (Split),3420,3925,3750,
Pipar City,14/01/2019,1.14, ,NR,NR,NR,
