Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Pipar City,04/05/2018,5.5,Bengal Gram (Split),4400,4400,4400,
,07/05/2018,4.2, ,NR,NR,NR,
,23/05/2018,8,Bengal Gram (Split),4400,4400,4400,
,30/05/2018,7,Bengal Gram (Split),4400,4400,4400,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Pipar City,04/05/2018,5.5,Bengal Gram (Split),4400,4400,4400,
,07/05/2018,4.2, ,NR,NR,NR,
,23/05/2018,8,Bengal Gram (Split),4400,4400,4400,
,30/05/2018,7,Bengal Gram (Split),4400,4400,4400,
