,0
0,"2019-02-01,AMRITSAR,15.0"
1,"2019-02-02,AMRITSAR,15.0"
2,"2019-02-03,AMRITSAR,0"
3,"2019-02-04,AMRITSAR,15.0"
4,"2019-02-05,AMRITSAR,10.0"
5,"2019-02-06,AMRITSAR,15.0"
6,"2019-02-07,AMRITSAR,15.0"
7,"2019-02-08,AMRITSAR,15.0"
8,"2019-02-09,AMRITSAR,15.0"
9,"2019-02-10,AMRITSAR,0"
10,"2019-02-11,AMRITSAR,0"
11,"2019-02-12,AMRITSAR,0"
12,"2019-02-13,AMRITSAR,0"
13,"2019-02-14,AMRITSAR,0"
14,"2019-02-15,AMRITSAR,0"
15,"2019-02-16,AMRITSAR,0"
16,"2019-02-17,AMRITSAR,0"
17,"2019-02-18,AMRITSAR,0"
18,"2019-02-19,AMRITSAR,0"
19,"2019-02-20,AMRITSAR,0"
20,"2019-02-21,AMRITSAR,0"
21,"2019-02-22,AMRITSAR,0"
22,"2019-02-23,AMRITSAR,0"
23,"2019-02-24,AMRITSAR,0"
24,"2019-02-25,AMRITSAR,0"
25,"2019-02-26,AMRITSAR,0"
26,"2019-02-27,AMRITSAR,0"
27,"2019-02-28,AMRITSAR,0"
