,0
0,"2019-05-01,AMRITSAR,0"
1,"2019-05-02,AMRITSAR,0"
2,"2019-05-03,AMRITSAR,0"
3,"2019-05-04,AMRITSAR,0"
4,"2019-05-05,AMRITSAR,0"
5,"2019-05-06,AMRITSAR,0"
6,"2019-05-07,AMRITSAR,0"
7,"2019-05-08,AMRITSAR,0"
8,"2019-05-09,AMRITSAR,0"
9,"2019-05-10,AMRITSAR,0"
10,"2019-05-11,AMRITSAR,0"
11,"2019-05-12,AMRITSAR,0"
12,"2019-05-13,AMRITSAR,0"
13,"2019-05-14,AMRITSAR,0"
14,"2019-05-15,AMRITSAR,0"
15,"2019-05-16,AMRITSAR,0"
16,"2019-05-17,AMRITSAR,0"
17,"2019-05-18,AMRITSAR,0"
18,"2019-05-19,AMRITSAR,0"
19,"2019-05-20,AMRITSAR,0"
20,"2019-05-21,AMRITSAR,0"
21,"2019-05-22,AMRITSAR,0"
22,"2019-05-23,AMRITSAR,0"
23,"2019-05-24,AMRITSAR,0"
24,"2019-05-25,AMRITSAR,0"
25,"2019-05-26,AMRITSAR,0"
26,"2019-05-27,AMRITSAR,0"
27,"2019-05-28,AMRITSAR,0"
28,"2019-05-29,AMRITSAR,0"
29,"2019-05-30,AMRITSAR,40.0"
30,"2019-05-31,AMRITSAR,0"
