,0
0,"2019-10-01,AMRITSAR,50.0"
1,"2019-10-02,AMRITSAR,0"
2,"2019-10-03,AMRITSAR,60.0"
3,"2019-10-04,AMRITSAR,60.0"
4,"2019-10-05,AMRITSAR,60.0"
5,"2019-10-06,AMRITSAR,0"
6,"2019-10-07,AMRITSAR,50.0"
7,"2019-10-08,AMRITSAR,0"
8,"2019-10-09,AMRITSAR,0"
9,"2019-10-10,AMRITSAR,0"
10,"2019-10-11,AMRITSAR,0"
11,"2019-10-12,AMRITSAR,60.0"
12,"2019-10-13,AMRITSAR,0"
13,"2019-10-14,AMRITSAR,0"
14,"2019-10-15,AMRITSAR,50.0"
15,"2019-10-16,AMRITSAR,50.0"
16,"2019-10-17,AMRITSAR,60.0"
17,"2019-10-18,AMRITSAR,60.0"
18,"2019-10-19,AMRITSAR,60.0"
19,"2019-10-20,AMRITSAR,0"
20,"2019-10-21,AMRITSAR,0"
21,"2019-10-22,AMRITSAR,50.0"
22,"2019-10-23,AMRITSAR,50.0"
23,"2019-10-24,AMRITSAR,40.0"
24,"2019-10-25,AMRITSAR,40.0"
25,"2019-10-26,AMRITSAR,50.0"
26,"2019-10-27,AMRITSAR,0"
27,"2019-10-28,AMRITSAR,40.0"
28,"2019-10-29,AMRITSAR,40.0"
29,"2019-10-30,AMRITSAR,40.0"
30,"2019-10-31,AMRITSAR,20.0"
