,0
0,"2018-04-01,AMRITSAR,0"
1,"2018-04-02,AMRITSAR,15.0"
2,"2018-04-03,AMRITSAR,0"
3,"2018-04-04,AMRITSAR,15.0"
4,"2018-04-05,AMRITSAR,10.0"
5,"2018-04-06,AMRITSAR,10.0"
6,"2018-04-07,AMRITSAR,10.0"
7,"2018-04-08,AMRITSAR,0"
8,"2018-04-09,AMRITSAR,10.0"
9,"2018-04-10,AMRITSAR,10.0"
10,"2018-04-11,AMRITSAR,10.0"
11,"2018-04-12,AMRITSAR,15.0"
12,"2018-04-13,AMRITSAR,15.0"
13,"2018-04-14,AMRITSAR,0"
14,"2018-04-15,AMRITSAR,0"
15,"2018-04-16,AMRITSAR,15.0"
16,"2018-04-17,AMRITSAR,15.0"
17,"2018-04-18,AMRITSAR,15.0"
18,"2018-04-19,AMRITSAR,15.0"
19,"2018-04-20,AMRITSAR,15.0"
20,"2018-04-21,AMRITSAR,15.0"
21,"2018-04-22,AMRITSAR,0"
22,"2018-04-23,AMRITSAR,15.0"
23,"2018-04-24,AMRITSAR,15.0"
24,"2018-04-25,AMRITSAR,20.0"
25,"2018-04-26,AMRITSAR,20.0"
26,"2018-04-27,AMRITSAR,20.0"
27,"2018-04-28,AMRITSAR,20.0"
28,"2018-04-29,AMRITSAR,0"
29,"2018-04-30,AMRITSAR,0"
