,0
0,"2016-11-01,AMRITSAR,15.0"
1,"2016-11-02,AMRITSAR,15.0"
2,"2016-11-03,AMRITSAR,15.0"
3,"2016-11-04,AMRITSAR,15.0"
4,"2016-11-05,AMRITSAR,15.0"
5,"2016-11-06,AMRITSAR,0"
6,"2016-11-07,AMRITSAR,20.0"
7,"2016-11-08,AMRITSAR,20.0"
8,"2016-11-09,AMRITSAR,20.0"
9,"2016-11-10,AMRITSAR,20.0"
10,"2016-11-11,AMRITSAR,20.0"
11,"2016-11-12,AMRITSAR,20.0"
12,"2016-11-13,AMRITSAR,0"
13,"2016-11-14,AMRITSAR,0"
14,"2016-11-15,AMRITSAR,20.0"
15,"2016-11-16,AMRITSAR,20.0"
16,"2016-11-17,AMRITSAR,20.0"
17,"2016-11-18,AMRITSAR,20.0"
18,"2016-11-19,AMRITSAR,20.0"
19,"2016-11-20,AMRITSAR,0"
20,"2016-11-21,AMRITSAR,20.0"
21,"2016-11-22,AMRITSAR,0"
22,"2016-11-23,AMRITSAR,20.0"
23,"2016-11-24,AMRITSAR,20.0"
24,"2016-11-25,AMRITSAR,20.0"
25,"2016-11-26,AMRITSAR,20.0"
26,"2016-11-27,AMRITSAR,0"
27,"2016-11-28,AMRITSAR,0"
28,"2016-11-29,AMRITSAR,0"
29,"2016-11-30,AMRITSAR,0"
