,0
0,"2016-10-01,AMRITSAR,10.0"
1,"2016-10-02,AMRITSAR,0"
2,"2016-10-03,AMRITSAR,10.0"
3,"2016-10-04,AMRITSAR,10.0"
4,"2016-10-05,AMRITSAR,10.0"
5,"2016-10-06,AMRITSAR,12.0"
6,"2016-10-07,AMRITSAR,12.0"
7,"2016-10-08,AMRITSAR,12.0"
8,"2016-10-09,AMRITSAR,0"
9,"2016-10-10,AMRITSAR,0"
10,"2016-10-11,AMRITSAR,0"
11,"2016-10-12,AMRITSAR,0"
12,"2016-10-13,AMRITSAR,15.0"
13,"2016-10-14,AMRITSAR,15.0"
14,"2016-10-15,AMRITSAR,15.0"
15,"2016-10-16,AMRITSAR,0"
16,"2016-10-17,AMRITSAR,15.0"
17,"2016-10-18,AMRITSAR,15.0"
18,"2016-10-19,AMRITSAR,15.0"
19,"2016-10-20,AMRITSAR,15.0"
20,"2016-10-21,AMRITSAR,15.0"
21,"2016-10-22,AMRITSAR,15.0"
22,"2016-10-23,AMRITSAR,0"
23,"2016-10-24,AMRITSAR,15.0"
24,"2016-10-25,AMRITSAR,15.0"
25,"2016-10-26,AMRITSAR,15.0"
26,"2016-10-27,AMRITSAR,15.0"
27,"2016-10-28,AMRITSAR,15.0"
28,"2016-10-29,AMRITSAR,15.0"
29,"2016-10-30,AMRITSAR,0"
30,"2016-10-31,AMRITSAR,15.0"
