,0
0,"2016-03-01,AMRITSAR,18.0"
1,"2016-03-02,AMRITSAR,18.0"
2,"2016-03-03,AMRITSAR,18.0"
3,"2016-03-04,AMRITSAR,15.0"
4,"2016-03-05,AMRITSAR,15.0"
5,"2016-03-06,AMRITSAR,0"
6,"2016-03-07,AMRITSAR,15.0"
7,"2016-03-08,AMRITSAR,15.0"
8,"2016-03-09,AMRITSAR,15.0"
9,"2016-03-10,AMRITSAR,15.0"
10,"2016-03-11,AMRITSAR,15.0"
11,"2016-03-12,AMRITSAR,15.0"
12,"2016-03-13,AMRITSAR,0"
13,"2016-03-14,AMRITSAR,15.0"
14,"2016-03-15,AMRITSAR,15.0"
15,"2016-03-16,AMRITSAR,20.0"
16,"2016-03-17,AMRITSAR,15.0"
17,"2016-03-18,AMRITSAR,15.0"
18,"2016-03-19,AMRITSAR,15.0"
19,"2016-03-20,AMRITSAR,0"
20,"2016-03-21,AMRITSAR,15.0"
21,"2016-03-22,AMRITSAR,15.0"
22,"2016-03-23,AMRITSAR,15.0"
23,"2016-03-24,AMRITSAR,0"
24,"2016-03-25,AMRITSAR,0"
25,"2016-03-26,AMRITSAR,15.0"
26,"2016-03-27,AMRITSAR,0"
27,"2016-03-28,AMRITSAR,15.0"
28,"2016-03-29,AMRITSAR,15.0"
29,"2016-03-30,AMRITSAR,15.0"
30,"2016-03-31,AMRITSAR,15.0"
