,0
0,"2018-06-01,AMRITSAR,7.0"
1,"2018-06-02,AMRITSAR,10.0"
2,"2018-06-03,AMRITSAR,0"
3,"2018-06-04,AMRITSAR,0"
4,"2018-06-05,AMRITSAR,10.0"
5,"2018-06-06,AMRITSAR,10.0"
6,"2018-06-07,AMRITSAR,10.0"
7,"2018-06-08,AMRITSAR,8.0"
8,"2018-06-09,AMRITSAR,10.0"
9,"2018-06-10,AMRITSAR,0"
10,"2018-06-11,AMRITSAR,10.0"
11,"2018-06-12,AMRITSAR,10.0"
12,"2018-06-13,AMRITSAR,15.0"
13,"2018-06-14,AMRITSAR,10.0"
14,"2018-06-15,AMRITSAR,10.0"
15,"2018-06-16,AMRITSAR,0"
16,"2018-06-17,AMRITSAR,0"
17,"2018-06-18,AMRITSAR,10.0"
18,"2018-06-19,AMRITSAR,10.0"
19,"2018-06-20,AMRITSAR,12.0"
20,"2018-06-21,AMRITSAR,15.0"
21,"2018-06-22,AMRITSAR,15.0"
22,"2018-06-23,AMRITSAR,20.0"
23,"2018-06-24,AMRITSAR,0"
24,"2018-06-25,AMRITSAR,20.0"
25,"2018-06-26,AMRITSAR,20.0"
26,"2018-06-27,AMRITSAR,20.0"
27,"2018-06-28,AMRITSAR,0"
28,"2018-06-29,AMRITSAR,20.0"
29,"2018-06-30,AMRITSAR,30.0"
