,0
0,"2018-08-01,AMRITSAR,50.0"
1,"2018-08-02,AMRITSAR,0"
2,"2018-08-03,AMRITSAR,0"
3,"2018-08-04,AMRITSAR,0"
4,"2018-08-05,AMRITSAR,0"
5,"2018-08-06,AMRITSAR,0"
6,"2018-08-07,AMRITSAR,0"
7,"2018-08-08,AMRITSAR,0"
8,"2018-08-09,AMRITSAR,0"
9,"2018-08-10,AMRITSAR,0"
10,"2018-08-11,AMRITSAR,0"
11,"2018-08-12,AMRITSAR,0"
12,"2018-08-13,AMRITSAR,0"
13,"2018-08-14,AMRITSAR,0"
14,"2018-08-15,AMRITSAR,0"
15,"2018-08-16,AMRITSAR,40.0"
16,"2018-08-17,AMRITSAR,40.0"
17,"2018-08-18,AMRITSAR,40.0"
18,"2018-08-19,AMRITSAR,0"
19,"2018-08-20,AMRITSAR,40.0"
20,"2018-08-21,AMRITSAR,30.0"
21,"2018-08-22,AMRITSAR,0"
22,"2018-08-23,AMRITSAR,30.0"
23,"2018-08-24,AMRITSAR,30.0"
24,"2018-08-25,AMRITSAR,30.0"
25,"2018-08-26,AMRITSAR,0"
26,"2018-08-27,AMRITSAR,30.0"
27,"2018-08-28,AMRITSAR,30.0"
28,"2018-08-29,AMRITSAR,30.0"
29,"2018-08-30,AMRITSAR,30.0"
30,"2018-08-31,AMRITSAR,25.0"
