,0
0,"2018-01-01,AMRITSAR,20.0"
1,"2018-01-02,AMRITSAR,20.0"
2,"2018-01-03,AMRITSAR,20.0"
3,"2018-01-04,AMRITSAR,20.0"
4,"2018-01-05,AMRITSAR,20.0"
5,"2018-01-06,AMRITSAR,20.0"
6,"2018-01-07,AMRITSAR,0"
7,"2018-01-08,AMRITSAR,0"
8,"2018-01-09,AMRITSAR,0"
9,"2018-01-10,AMRITSAR,0"
10,"2018-01-11,AMRITSAR,0"
11,"2018-01-12,AMRITSAR,0"
12,"2018-01-13,AMRITSAR,0"
13,"2018-01-14,AMRITSAR,0"
14,"2018-01-15,AMRITSAR,0"
15,"2018-01-16,AMRITSAR,0"
16,"2018-01-17,AMRITSAR,0"
17,"2018-01-18,AMRITSAR,0"
18,"2018-01-19,AMRITSAR,0"
19,"2018-01-20,AMRITSAR,0"
20,"2018-01-21,AMRITSAR,0"
21,"2018-01-22,AMRITSAR,0"
22,"2018-01-23,AMRITSAR,0"
23,"2018-01-24,AMRITSAR,0"
24,"2018-01-25,AMRITSAR,0"
25,"2018-01-26,AMRITSAR,0"
26,"2018-01-27,AMRITSAR,20.0"
27,"2018-01-28,AMRITSAR,0"
28,"2018-01-29,AMRITSAR,20.0"
29,"2018-01-30,AMRITSAR,15.0"
30,"2018-01-31,AMRITSAR,20.0"
