,0
0,"2017-10-01,AMRITSAR,0"
1,"2017-10-02,AMRITSAR,0"
2,"2017-10-03,AMRITSAR,0"
3,"2017-10-04,AMRITSAR,0"
4,"2017-10-05,AMRITSAR,0"
5,"2017-10-06,AMRITSAR,0"
6,"2017-10-07,AMRITSAR,0"
7,"2017-10-08,AMRITSAR,0"
8,"2017-10-09,AMRITSAR,30.0"
9,"2017-10-10,AMRITSAR,40.0"
10,"2017-10-11,AMRITSAR,40.0"
11,"2017-10-12,AMRITSAR,40.0"
12,"2017-10-13,AMRITSAR,35.0"
13,"2017-10-14,AMRITSAR,30.0"
14,"2017-10-15,AMRITSAR,0"
15,"2017-10-16,AMRITSAR,40.0"
16,"2017-10-17,AMRITSAR,40.0"
17,"2017-10-18,AMRITSAR,40.0"
18,"2017-10-19,AMRITSAR,0"
19,"2017-10-20,AMRITSAR,0"
20,"2017-10-21,AMRITSAR,35.0"
21,"2017-10-22,AMRITSAR,0"
22,"2017-10-23,AMRITSAR,30.0"
23,"2017-10-24,AMRITSAR,40.0"
24,"2017-10-25,AMRITSAR,40.0"
25,"2017-10-26,AMRITSAR,40.0"
26,"2017-10-27,AMRITSAR,40.0"
27,"2017-10-28,AMRITSAR,40.0"
28,"2017-10-29,AMRITSAR,0"
29,"2017-10-30,AMRITSAR,60.0"
30,"2017-10-31,AMRITSAR,60.0"
