,0
0,"2017-09-01,AMRITSAR,50.0"
1,"2017-09-02,AMRITSAR,0"
2,"2017-09-03,AMRITSAR,0"
3,"2017-09-04,AMRITSAR,50.0"
4,"2017-09-05,AMRITSAR,40.0"
5,"2017-09-06,AMRITSAR,40.0"
6,"2017-09-07,AMRITSAR,40.0"
7,"2017-09-08,AMRITSAR,30.0"
8,"2017-09-09,AMRITSAR,30.0"
9,"2017-09-10,AMRITSAR,0"
10,"2017-09-11,AMRITSAR,30.0"
11,"2017-09-12,AMRITSAR,30.0"
12,"2017-09-13,AMRITSAR,30.0"
13,"2017-09-14,AMRITSAR,30.0"
14,"2017-09-15,AMRITSAR,30.0"
15,"2017-09-16,AMRITSAR,30.0"
16,"2017-09-17,AMRITSAR,0"
17,"2017-09-18,AMRITSAR,30.0"
18,"2017-09-19,AMRITSAR,30.0"
19,"2017-09-20,AMRITSAR,30.0"
20,"2017-09-21,AMRITSAR,25.0"
21,"2017-09-22,AMRITSAR,25.0"
22,"2017-09-23,AMRITSAR,30.0"
23,"2017-09-24,AMRITSAR,0"
24,"2017-09-25,AMRITSAR,30.0"
25,"2017-09-26,AMRITSAR,30.0"
26,"2017-09-27,AMRITSAR,30.0"
27,"2017-09-28,AMRITSAR,30.0"
28,"2017-09-29,AMRITSAR,30.0"
29,"2017-09-30,AMRITSAR,0"
