,0
0,"2018-11-01,AMRITSAR,20.0"
1,"2018-11-02,AMRITSAR,20.0"
2,"2018-11-03,AMRITSAR,20.0"
3,"2018-11-04,AMRITSAR,0"
4,"2018-11-05,AMRITSAR,20.0"
5,"2018-11-06,AMRITSAR,20.0"
6,"2018-11-07,AMRITSAR,0"
7,"2018-11-08,AMRITSAR,20.0"
8,"2018-11-09,AMRITSAR,20.0"
9,"2018-11-10,AMRITSAR,20.0"
10,"2018-11-11,AMRITSAR,0"
11,"2018-11-12,AMRITSAR,20.0"
12,"2018-11-13,AMRITSAR,20.0"
13,"2018-11-14,AMRITSAR,20.0"
14,"2018-11-15,AMRITSAR,20.0"
15,"2018-11-16,AMRITSAR,20.0"
16,"2018-11-17,AMRITSAR,20.0"
17,"2018-11-18,AMRITSAR,0"
18,"2018-11-19,AMRITSAR,20.0"
19,"2018-11-20,AMRITSAR,20.0"
20,"2018-11-21,AMRITSAR,0"
21,"2018-11-22,AMRITSAR,20.0"
22,"2018-11-23,AMRITSAR,0"
23,"2018-11-24,AMRITSAR,20.0"
24,"2018-11-25,AMRITSAR,0"
25,"2018-11-26,AMRITSAR,20.0"
26,"2018-11-27,AMRITSAR,20.0"
27,"2018-11-28,AMRITSAR,20.0"
28,"2018-11-29,AMRITSAR,20.0"
29,"2018-11-30,AMRITSAR,20.0"
