,0
0,"2017-05-01,AMRITSAR,10.0"
1,"2017-05-02,AMRITSAR,10.0"
2,"2017-05-03,AMRITSAR,10.0"
3,"2017-05-04,AMRITSAR,20.0"
4,"2017-05-05,AMRITSAR,15.0"
5,"2017-05-06,AMRITSAR,10.0"
6,"2017-05-07,AMRITSAR,0"
7,"2017-05-08,AMRITSAR,15.0"
8,"2017-05-09,AMRITSAR,15.0"
9,"2017-05-10,AMRITSAR,0"
10,"2017-05-11,AMRITSAR,15.0"
11,"2017-05-12,AMRITSAR,15.0"
12,"2017-05-13,AMRITSAR,15.0"
13,"2017-05-14,AMRITSAR,0"
14,"2017-05-15,AMRITSAR,15.0"
15,"2017-05-16,AMRITSAR,10.0"
16,"2017-05-17,AMRITSAR,10.0"
17,"2017-05-18,AMRITSAR,10.0"
18,"2017-05-19,AMRITSAR,10.0"
19,"2017-05-20,AMRITSAR,10.0"
20,"2017-05-21,AMRITSAR,0"
21,"2017-05-22,AMRITSAR,70.0"
22,"2017-05-23,AMRITSAR,10.0"
23,"2017-05-24,AMRITSAR,10.0"
24,"2017-05-25,AMRITSAR,10.0"
25,"2017-05-26,AMRITSAR,10.0"
26,"2017-05-27,AMRITSAR,10.0"
27,"2017-05-28,AMRITSAR,0"
28,"2017-05-29,AMRITSAR,10.0"
29,"2017-05-30,AMRITSAR,10.0"
30,"2017-05-31,AMRITSAR,10.0"
