,0
0,"2018-07-01,AMRITSAR,0"
1,"2018-07-02,AMRITSAR,20.0"
2,"2018-07-03,AMRITSAR,30.0"
3,"2018-07-04,AMRITSAR,40.0"
4,"2018-07-05,AMRITSAR,30.0"
5,"2018-07-06,AMRITSAR,30.0"
6,"2018-07-07,AMRITSAR,30.0"
7,"2018-07-08,AMRITSAR,0"
8,"2018-07-09,AMRITSAR,40.0"
9,"2018-07-10,AMRITSAR,30.0"
10,"2018-07-11,AMRITSAR,40.0"
11,"2018-07-12,AMRITSAR,40.0"
12,"2018-07-13,AMRITSAR,40.0"
13,"2018-07-14,AMRITSAR,40.0"
14,"2018-07-15,AMRITSAR,0"
15,"2018-07-16,AMRITSAR,40.0"
16,"2018-07-17,AMRITSAR,30.0"
17,"2018-07-18,AMRITSAR,30.0"
18,"2018-07-19,AMRITSAR,30.0"
19,"2018-07-20,AMRITSAR,30.0"
20,"2018-07-21,AMRITSAR,30.0"
21,"2018-07-22,AMRITSAR,0"
22,"2018-07-23,AMRITSAR,40.0"
23,"2018-07-24,AMRITSAR,40.0"
24,"2018-07-25,AMRITSAR,40.0"
25,"2018-07-26,AMRITSAR,40.0"
26,"2018-07-27,AMRITSAR,40.0"
27,"2018-07-28,AMRITSAR,40.0"
28,"2018-07-29,AMRITSAR,0"
29,"2018-07-30,AMRITSAR,40.0"
30,"2018-07-31,AMRITSAR,60.0"
