,0
0,"2017-12-01,AMRITSAR,60.0"
1,"2017-12-02,AMRITSAR,0"
2,"2017-12-03,AMRITSAR,0"
3,"2017-12-04,AMRITSAR,60.0"
4,"2017-12-05,AMRITSAR,60.0"
5,"2017-12-06,AMRITSAR,60.0"
6,"2017-12-07,AMRITSAR,60.0"
7,"2017-12-08,AMRITSAR,40.0"
8,"2017-12-09,AMRITSAR,50.0"
9,"2017-12-10,AMRITSAR,0"
10,"2017-12-11,AMRITSAR,40.0"
11,"2017-12-12,AMRITSAR,40.0"
12,"2017-12-13,AMRITSAR,30.0"
13,"2017-12-14,AMRITSAR,30.0"
14,"2017-12-15,AMRITSAR,30.0"
15,"2017-12-16,AMRITSAR,30.0"
16,"2017-12-17,AMRITSAR,0"
17,"2017-12-18,AMRITSAR,30.0"
18,"2017-12-19,AMRITSAR,30.0"
19,"2017-12-20,AMRITSAR,20.0"
20,"2017-12-21,AMRITSAR,20.0"
21,"2017-12-22,AMRITSAR,20.0"
22,"2017-12-23,AMRITSAR,20.0"
23,"2017-12-24,AMRITSAR,0"
24,"2017-12-25,AMRITSAR,0"
25,"2017-12-26,AMRITSAR,20.0"
26,"2017-12-27,AMRITSAR,20.0"
27,"2017-12-28,AMRITSAR,20.0"
28,"2017-12-29,AMRITSAR,20.0"
29,"2017-12-30,AMRITSAR,20.0"
30,"2017-12-31,AMRITSAR,0"
