,0
0,"2016-02-01,AHMEDABAD,15.0"
1,"2016-02-02,AHMEDABAD,15.0"
2,"2016-02-03,AHMEDABAD,15.0"
3,"2016-02-04,AHMEDABAD,15.0"
4,"2016-02-05,AHMEDABAD,15.0"
5,"2016-02-06,AHMEDABAD,15.0"
6,"2016-02-07,AHMEDABAD,0"
7,"2016-02-08,AHMEDABAD,15.0"
8,"2016-02-09,AHMEDABAD,16.0"
9,"2016-02-10,AHMEDABAD,15.0"
10,"2016-02-11,AHMEDABAD,15.0"
11,"2016-02-12,AHMEDABAD,15.0"
12,"2016-02-13,AHMEDABAD,20.0"
13,"2016-02-14,AHMEDABAD,0"
14,"2016-02-15,AHMEDABAD,15.0"
15,"2016-02-16,AHMEDABAD,15.0"
16,"2016-02-17,AHMEDABAD,15.0"
17,"2016-02-18,AHMEDABAD,15.0"
18,"2016-02-19,AHMEDABAD,15.0"
19,"2016-02-20,AHMEDABAD,15.0"
20,"2016-02-21,AHMEDABAD,0"
21,"2016-02-22,AHMEDABAD,20.0"
22,"2016-02-23,AHMEDABAD,20.0"
23,"2016-02-24,AHMEDABAD,20.0"
24,"2016-02-25,AHMEDABAD,20.0"
25,"2016-02-26,AHMEDABAD,15.0"
26,"2016-02-27,AHMEDABAD,15.0"
27,"2016-02-28,AHMEDABAD,0"
28,"2016-02-29,AHMEDABAD,18.0"
