,0
0,"2018-02-01,AHMEDABAD,15.0"
1,"2018-02-02,AHMEDABAD,12.0"
2,"2018-02-03,AHMEDABAD,12.0"
3,"2018-02-04,AHMEDABAD,0"
4,"2018-02-05,AHMEDABAD,12.0"
5,"2018-02-06,AHMEDABAD,10.0"
6,"2018-02-07,AHMEDABAD,12.0"
7,"2018-02-08,AHMEDABAD,12.0"
8,"2018-02-09,AHMEDABAD,12.0"
9,"2018-02-10,AHMEDABAD,12.0"
10,"2018-02-11,AHMEDABAD,0"
11,"2018-02-12,AHMEDABAD,12.0"
12,"2018-02-13,AHMEDABAD,0"
13,"2018-02-14,AHMEDABAD,12.0"
14,"2018-02-15,AHMEDABAD,12.0"
15,"2018-02-16,AHMEDABAD,10.0"
16,"2018-02-17,AHMEDABAD,10.0"
17,"2018-02-18,AHMEDABAD,0"
18,"2018-02-19,AHMEDABAD,12.0"
19,"2018-02-20,AHMEDABAD,12.0"
20,"2018-02-21,AHMEDABAD,10.0"
21,"2018-02-22,AHMEDABAD,10.0"
22,"2018-02-23,AHMEDABAD,10.0"
23,"2018-02-24,AHMEDABAD,10.0"
24,"2018-02-25,AHMEDABAD,0"
25,"2018-02-26,AHMEDABAD,12.0"
26,"2018-02-27,AHMEDABAD,12.0"
27,"2018-02-28,AHMEDABAD,12.0"
