,0
0,"2016-11-01,AHMEDABAD,0"
1,"2016-11-02,AHMEDABAD,0"
2,"2016-11-03,AHMEDABAD,20.0"
3,"2016-11-04,AHMEDABAD,18.0"
4,"2016-11-05,AHMEDABAD,20.0"
5,"2016-11-06,AHMEDABAD,0"
6,"2016-11-07,AHMEDABAD,20.0"
7,"2016-11-08,AHMEDABAD,20.0"
8,"2016-11-09,AHMEDABAD,20.0"
9,"2016-11-10,AHMEDABAD,20.0"
10,"2016-11-11,AHMEDABAD,20.0"
11,"2016-11-12,AHMEDABAD,18.0"
12,"2016-11-13,AHMEDABAD,0"
13,"2016-11-14,AHMEDABAD,0"
14,"2016-11-15,AHMEDABAD,20.0"
15,"2016-11-16,AHMEDABAD,20.0"
16,"2016-11-17,AHMEDABAD,18.0"
17,"2016-11-18,AHMEDABAD,18.0"
18,"2016-11-19,AHMEDABAD,0"
19,"2016-11-20,AHMEDABAD,0"
20,"2016-11-21,AHMEDABAD,20.0"
21,"2016-11-22,AHMEDABAD,20.0"
22,"2016-11-23,AHMEDABAD,20.0"
23,"2016-11-24,AHMEDABAD,20.0"
24,"2016-11-25,AHMEDABAD,20.0"
25,"2016-11-26,AHMEDABAD,0"
26,"2016-11-27,AHMEDABAD,0"
27,"2016-11-28,AHMEDABAD,20.0"
28,"2016-11-29,AHMEDABAD,5.76"
29,"2016-11-30,AHMEDABAD,20.0"
