,0
0,"2018-01-01,AHMEDABAD,16.0"
1,"2018-01-02,AHMEDABAD,15.0"
2,"2018-01-03,AHMEDABAD,16.0"
3,"2018-01-04,AHMEDABAD,15.0"
4,"2018-01-05,AHMEDABAD,16.0"
5,"2018-01-06,AHMEDABAD,15.0"
6,"2018-01-07,AHMEDABAD,0"
7,"2018-01-08,AHMEDABAD,15.0"
8,"2018-01-09,AHMEDABAD,14.0"
9,"2018-01-10,AHMEDABAD,15.0"
10,"2018-01-11,AHMEDABAD,14.0"
11,"2018-01-12,AHMEDABAD,14.0"
12,"2018-01-13,AHMEDABAD,14.0"
13,"2018-01-14,AHMEDABAD,0"
14,"2018-01-15,AHMEDABAD,14.0"
15,"2018-01-16,AHMEDABAD,14.0"
16,"2018-01-17,AHMEDABAD,14.0"
17,"2018-01-18,AHMEDABAD,0"
18,"2018-01-19,AHMEDABAD,14.0"
19,"2018-01-20,AHMEDABAD,14.0"
20,"2018-01-21,AHMEDABAD,0"
21,"2018-01-22,AHMEDABAD,12.0"
22,"2018-01-23,AHMEDABAD,15.0"
23,"2018-01-24,AHMEDABAD,14.0"
24,"2018-01-25,AHMEDABAD,12.0"
25,"2018-01-26,AHMEDABAD,0"
26,"2018-01-27,AHMEDABAD,12.0"
27,"2018-01-28,AHMEDABAD,0"
28,"2018-01-29,AHMEDABAD,12.0"
29,"2018-01-30,AHMEDABAD,12.0"
30,"2018-01-31,AHMEDABAD,12.0"
