,0
0,"2016-05-01,AHMEDABAD,0"
1,"2016-05-02,AHMEDABAD,25.0"
2,"2016-05-03,AHMEDABAD,20.0"
3,"2016-05-04,AHMEDABAD,25.0"
4,"2016-05-05,AHMEDABAD,25.0"
5,"2016-05-06,AHMEDABAD,25.0"
6,"2016-05-07,AHMEDABAD,25.0"
7,"2016-05-08,AHMEDABAD,0"
8,"2016-05-09,AHMEDABAD,25.0"
9,"2016-05-10,AHMEDABAD,25.0"
10,"2016-05-11,AHMEDABAD,20.0"
11,"2016-05-12,AHMEDABAD,25.0"
12,"2016-05-13,AHMEDABAD,20.0"
13,"2016-05-14,AHMEDABAD,20.0"
14,"2016-05-15,AHMEDABAD,0"
15,"2016-05-16,AHMEDABAD,25.0"
16,"2016-05-17,AHMEDABAD,25.0"
17,"2016-05-18,AHMEDABAD,28.0"
18,"2016-05-19,AHMEDABAD,25.0"
19,"2016-05-20,AHMEDABAD,25.0"
20,"2016-05-21,AHMEDABAD,0"
21,"2016-05-22,AHMEDABAD,0"
22,"2016-05-23,AHMEDABAD,25.0"
23,"2016-05-24,AHMEDABAD,25.0"
24,"2016-05-25,AHMEDABAD,25.0"
25,"2016-05-26,AHMEDABAD,25.0"
26,"2016-05-27,AHMEDABAD,25.0"
27,"2016-05-28,AHMEDABAD,25.0"
28,"2016-05-29,AHMEDABAD,0"
29,"2016-05-30,AHMEDABAD,25.0"
30,"2016-05-31,AHMEDABAD,25.0"
