,0
0,"2017-09-01,AHMEDABAD,0"
1,"2017-09-02,AHMEDABAD,0"
2,"2017-09-03,AHMEDABAD,0"
3,"2017-09-04,AHMEDABAD,0"
4,"2017-09-05,AHMEDABAD,40.0"
5,"2017-09-06,AHMEDABAD,40.0"
6,"2017-09-07,AHMEDABAD,0"
7,"2017-09-08,AHMEDABAD,0"
8,"2017-09-09,AHMEDABAD,40.0"
9,"2017-09-10,AHMEDABAD,0"
10,"2017-09-11,AHMEDABAD,40.0"
11,"2017-09-12,AHMEDABAD,0"
12,"2017-09-13,AHMEDABAD,0"
13,"2017-09-14,AHMEDABAD,0"
14,"2017-09-15,AHMEDABAD,40.0"
15,"2017-09-16,AHMEDABAD,40.0"
16,"2017-09-17,AHMEDABAD,0"
17,"2017-09-18,AHMEDABAD,40.0"
18,"2017-09-19,AHMEDABAD,0"
19,"2017-09-20,AHMEDABAD,40.0"
20,"2017-09-21,AHMEDABAD,40.0"
21,"2017-09-22,AHMEDABAD,40.0"
22,"2017-09-23,AHMEDABAD,40.0"
23,"2017-09-24,AHMEDABAD,0"
24,"2017-09-25,AHMEDABAD,30.0"
25,"2017-09-26,AHMEDABAD,30.0"
26,"2017-09-27,AHMEDABAD,30.0"
27,"2017-09-28,AHMEDABAD,30.0"
28,"2017-09-29,AHMEDABAD,30.0"
29,"2017-09-30,AHMEDABAD,0"
