,0
0,"2018-03-01,AHMEDABAD,0"
1,"2018-03-02,AHMEDABAD,0"
2,"2018-03-03,AHMEDABAD,0"
3,"2018-03-04,AHMEDABAD,0"
4,"2018-03-05,AHMEDABAD,12.0"
5,"2018-03-06,AHMEDABAD,10.0"
6,"2018-03-07,AHMEDABAD,10.0"
7,"2018-03-08,AHMEDABAD,0"
8,"2018-03-09,AHMEDABAD,12.0"
9,"2018-03-10,AHMEDABAD,10.0"
10,"2018-03-11,AHMEDABAD,0"
11,"2018-03-12,AHMEDABAD,12.0"
12,"2018-03-13,AHMEDABAD,12.0"
13,"2018-03-14,AHMEDABAD,12.0"
14,"2018-03-15,AHMEDABAD,12.0"
15,"2018-03-16,AHMEDABAD,12.0"
16,"2018-03-17,AHMEDABAD,12.0"
17,"2018-03-18,AHMEDABAD,0"
18,"2018-03-19,AHMEDABAD,12.0"
19,"2018-03-20,AHMEDABAD,12.0"
20,"2018-03-21,AHMEDABAD,12.0"
21,"2018-03-22,AHMEDABAD,10.0"
22,"2018-03-23,AHMEDABAD,10.0"
23,"2018-03-24,AHMEDABAD,0"
24,"2018-03-25,AHMEDABAD,0"
25,"2018-03-26,AHMEDABAD,12.0"
26,"2018-03-27,AHMEDABAD,12.0"
27,"2018-03-28,AHMEDABAD,12.0"
28,"2018-03-29,AHMEDABAD,0"
29,"2018-03-30,AHMEDABAD,0"
30,"2018-03-31,AHMEDABAD,0"
