,0
0,"2016-07-01,AHMEDABAD,60.0"
1,"2016-07-02,AHMEDABAD,50.0"
2,"2016-07-03,AHMEDABAD,0"
3,"2016-07-04,AHMEDABAD,50.0"
4,"2016-07-05,AHMEDABAD,60.0"
5,"2016-07-06,AHMEDABAD,0"
6,"2016-07-07,AHMEDABAD,50.0"
7,"2016-07-08,AHMEDABAD,50.0"
8,"2016-07-09,AHMEDABAD,45.0"
9,"2016-07-10,AHMEDABAD,0"
10,"2016-07-11,AHMEDABAD,50.0"
11,"2016-07-12,AHMEDABAD,45.0"
12,"2016-07-13,AHMEDABAD,40.0"
13,"2016-07-14,AHMEDABAD,45.0"
14,"2016-07-15,AHMEDABAD,45.0"
15,"2016-07-16,AHMEDABAD,0"
16,"2016-07-17,AHMEDABAD,0"
17,"2016-07-18,AHMEDABAD,40.0"
18,"2016-07-19,AHMEDABAD,40.0"
19,"2016-07-20,AHMEDABAD,40.0"
20,"2016-07-21,AHMEDABAD,50.0"
21,"2016-07-22,AHMEDABAD,40.0"
22,"2016-07-23,AHMEDABAD,0"
23,"2016-07-24,AHMEDABAD,0"
24,"2016-07-25,AHMEDABAD,40.0"
25,"2016-07-26,AHMEDABAD,35.0"
26,"2016-07-27,AHMEDABAD,30.0"
27,"2016-07-28,AHMEDABAD,30.0"
28,"2016-07-29,AHMEDABAD,30.0"
29,"2016-07-30,AHMEDABAD,30.0"
30,"2016-07-31,AHMEDABAD,0"
