,0
0,"2016-10-01,AHMEDABAD,20.0"
1,"2016-10-02,AHMEDABAD,0"
2,"2016-10-03,AHMEDABAD,0"
3,"2016-10-04,AHMEDABAD,20.0"
4,"2016-10-05,AHMEDABAD,20.0"
5,"2016-10-06,AHMEDABAD,20.0"
6,"2016-10-07,AHMEDABAD,20.0"
7,"2016-10-08,AHMEDABAD,20.0"
8,"2016-10-09,AHMEDABAD,0"
9,"2016-10-10,AHMEDABAD,20.0"
10,"2016-10-11,AHMEDABAD,0"
11,"2016-10-12,AHMEDABAD,0"
12,"2016-10-13,AHMEDABAD,20.0"
13,"2016-10-14,AHMEDABAD,20.0"
14,"2016-10-15,AHMEDABAD,20.0"
15,"2016-10-16,AHMEDABAD,0"
16,"2016-10-17,AHMEDABAD,20.0"
17,"2016-10-18,AHMEDABAD,20.0"
18,"2016-10-19,AHMEDABAD,25.0"
19,"2016-10-20,AHMEDABAD,20.0"
20,"2016-10-21,AHMEDABAD,20.0"
21,"2016-10-22,AHMEDABAD,20.0"
22,"2016-10-23,AHMEDABAD,0"
23,"2016-10-24,AHMEDABAD,20.0"
24,"2016-10-25,AHMEDABAD,18.0"
25,"2016-10-26,AHMEDABAD,18.0"
26,"2016-10-27,AHMEDABAD,16.0"
27,"2016-10-28,AHMEDABAD,15.0"
28,"2016-10-29,AHMEDABAD,15.0"
29,"2016-10-30,AHMEDABAD,0"
30,"2016-10-31,AHMEDABAD,15.0"
