,0
0,"2019-01-01,AHMEDABAD,30.0"
1,"2019-01-02,AHMEDABAD,25.0"
2,"2019-01-03,AHMEDABAD,30.0"
3,"2019-01-04,AHMEDABAD,25.0"
4,"2019-01-05,AHMEDABAD,0"
5,"2019-01-06,AHMEDABAD,0"
6,"2019-01-07,AHMEDABAD,30.0"
7,"2019-01-08,AHMEDABAD,30.0"
8,"2019-01-09,AHMEDABAD,25.0"
9,"2019-01-10,AHMEDABAD,0"
10,"2019-01-11,AHMEDABAD,25.0"
11,"2019-01-12,AHMEDABAD,0"
12,"2019-01-13,AHMEDABAD,0"
13,"2019-01-14,AHMEDABAD,25.0"
14,"2019-01-15,AHMEDABAD,0"
15,"2019-01-16,AHMEDABAD,25.0"
16,"2019-01-17,AHMEDABAD,30.0"
17,"2019-01-18,AHMEDABAD,25.0"
18,"2019-01-19,AHMEDABAD,25.0"
19,"2019-01-20,AHMEDABAD,0"
20,"2019-01-21,AHMEDABAD,0"
21,"2019-01-22,AHMEDABAD,20.0"
22,"2019-01-23,AHMEDABAD,20.0"
23,"2019-01-24,AHMEDABAD,20.0"
24,"2019-01-25,AHMEDABAD,20.0"
25,"2019-01-26,AHMEDABAD,0"
26,"2019-01-27,AHMEDABAD,0"
27,"2019-01-28,AHMEDABAD,20.0"
28,"2019-01-29,AHMEDABAD,18.0"
29,"2019-01-30,AHMEDABAD,0"
30,"2019-01-31,AHMEDABAD,0"
