,0
0,"2019-04-01,AHMEDABAD,0"
1,"2019-04-02,AHMEDABAD,20.0"
2,"2019-04-03,AHMEDABAD,20.0"
3,"2019-04-04,AHMEDABAD,25.0"
4,"2019-04-05,AHMEDABAD,25.0"
5,"2019-04-06,AHMEDABAD,0"
6,"2019-04-07,AHMEDABAD,0"
7,"2019-04-08,AHMEDABAD,30.0"
8,"2019-04-09,AHMEDABAD,20.0"
9,"2019-04-10,AHMEDABAD,25.0"
10,"2019-04-11,AHMEDABAD,25.0"
11,"2019-04-12,AHMEDABAD,20.0"
12,"2019-04-13,AHMEDABAD,0"
13,"2019-04-14,AHMEDABAD,0"
14,"2019-04-15,AHMEDABAD,25.0"
15,"2019-04-16,AHMEDABAD,25.0"
16,"2019-04-17,AHMEDABAD,0"
17,"2019-04-18,AHMEDABAD,20.0"
18,"2019-04-19,AHMEDABAD,0"
19,"2019-04-20,AHMEDABAD,20.0"
20,"2019-04-21,AHMEDABAD,0"
21,"2019-04-22,AHMEDABAD,30.0"
22,"2019-04-23,AHMEDABAD,0"
23,"2019-04-24,AHMEDABAD,25.0"
24,"2019-04-25,AHMEDABAD,30.0"
25,"2019-04-26,AHMEDABAD,30.0"
26,"2019-04-27,AHMEDABAD,0"
27,"2019-04-28,AHMEDABAD,0"
28,"2019-04-29,AHMEDABAD,35.0"
29,"2019-04-30,AHMEDABAD,30.0"
